Player,PlayerName1,PlayerName2,PlayerName3,Rating,Salary
Jonathan Calleri,Jonathan,Calleri,,7.08,
Jonathan Silva,Jonathan,Silva,,6.89,
Jony,Jony,,,6.89,
Jordi Alba,Jordi,Alba,,7.01,
Jordi Amat,Jordi,Amat,,6.5,
Jordi Masip,Jordi,Masip,,6.57,
Jorge Miramón,Jorge,Miramón,,6.9,
Jorge Molina,Jorge,Molina,,6.97,13522
Jorge Pulido,Jorge,Pulido,,6.75,
José Campaña,José,Campaña,,7.1,
José Gayà,José,Gayà,,6.98,
José Giménez,José,Giménez,,7.13,
José Luis Morales,José,Luis,Morales,6.86,
José Pozo,José,Pozo,,6.55,
Joseba Zaldua,Joseba,Zaldua,,6.8,
Jozabed,Jozabed,,,6.27,
Juan Hernández,Juan,Hernández,,6.66,
Juanfran,Juanfran,,,13.33,
Juanmi,Juanmi,,,6.48,42500
Juanpe,Juanpe,,,6.76,
Júnior Firpo,Júnior,Firpo,,6.93,
Keko,Keko,,,6.53,
Kenneth Omeruo,Kenneth,Omeruo,,6.78,
Kike G.,Kike,G.,,6.37,42500
Kiko Olivas,Kiko,Olivas,,6.71,
Koke,Koke,,,7.09,
Leandro Cabrera,Leandro,Cabrera,,7.01,
Leo Baptistão,Leo,Baptistão,,6.61,
Loren,Loren,,,6.48,
Lucas Vázquez,Lucas,Vázquez,,6.63,
Luis Advíncula,Luis,Advíncula,,6.67,
Luis Suárez,Luis,Suárez,,7.57,
Luka Modric,Luka,Modric,,7.03,
Manu García,Manu,García,,6.68,
Manu Trigueros,Manu,Trigueros,,6.51,
Marc Bartra,Marc,Bartra,,6.97,
Marc Cucurella,Marc,Cucurella,,6.58,
Marc Muniesa,Marc,Muniesa,,6.83,
Marc Roca,Marc,Roca,,6.9,
Marc-André ter Stegen,Marc-André,ter,Stegen,6.69,
Marcelo,Marcelo,,,6.81,
Marco Asensio,Marco,Asensio,,6.78,
Mario Gaspar,Mario,Gaspar,,6.71,
Mario Hermoso,Mario,Hermoso,,6.95,
Markel Susaeta,Markel,Susaeta,,6.57,
Marko Dmitrovic,Marko,Dmitrovic,,6.44,
Martín Aguirregabiria,Martín,Aguirregabiria,,6.56,
Mata,Mata,,,6.88,24790
Mauro Arambarri,Mauro,Arambarri,,6.76,
Maxi Gómez,Maxi,Gómez,,6.95,
Messi,Messi,,,8.48,
Messi ,Messi,,,8.48,565000
Míchel,Míchel,,,6.71,
Mikel Merino,Mikel,Merino,,6.88,
Mikel San José,Mikel,San,José,6.44,
Mikel Vesga,Mikel,Vesga,,6.77,
Moi Gómez,Moi,Gómez,,6.7,
Moses,Moses,,,6.43,
Mouctar Diakhaby,Mouctar,Diakhaby,,6.65,
Mubarak Wakaso,Mubarak,Wakaso,,6.49,
Muniain,Muniain,,,6.83,45000
Nabil El Zhar,Nabil,El,Zhar,6.4,
Nacho,Nacho,,,13.51,
Nélson Semedo,Nélson,Semedo,,6.68,
Nemanja Maksimovic,Nemanja,Maksimovic,,6.78,
Néstor Araújo,Néstor,Araújo,,6.73,
Neto,Neto,,,6.7,
O. Dembélé ,O.,Dembélé,,7.25,248600
Oier Olazábal,Oier,Olazábal,,6.82,
Okay Yokuslu,Okay,Yokuslu,,6.87,
Óscar De Marcos,Óscar,De,Marcos,6.57,
Óscar Melendo,Óscar,Melendo,,6.6,
Óscar Plano,Óscar,Plano,,6.69,
Óscar Rodríguez,Óscar,Rodríguez,,6.9,
Óscar Trejo,Óscar,Trejo,,6.64,
Ousmane Dembélé,Ousmane,Dembélé,,7.25,
Oyarzabal,Oyarzabal,,,6.83,43000
Pablo De Blasis,Pablo,De,Blasis,6.45,
Pablo Fornals,Pablo,Fornals,,6.71,
Pablo Piatti,Pablo,Piatti,,6.39,
Pablo Sarabia,Pablo,Sarabia,,7.16,
Pape Diop,Pape,Diop,,6.85,
Patrick Roberts,Patrick,Roberts,,6.28,
Pau López,Pau,López,,6.64,
Paulo Oliveira,Paulo,Oliveira,,6.7,
Pedro Alcalá,Pedro,Alcalá,,6.88,
Pedro Porro,Pedro,Porro,,6.63,
